player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Michael Porter,DEN,23630,ast,14.5,-120,-102,fd,,F,1,,,,closed,,,156,,3471,14.5,-115,-110,16.5,-111,10,2023-10-20 04:12:03,0,0,86,86,1,4,48,41,11,3,19.4,0.76206380729628,0.39711698004317997,5,4.9,22,116.8,,
Jonathan Kuminga,GSW,23631,ast,9.5,-130,106,fd,,F,0,,,,closed,,,156,,5267,9.5,-130,106,10.5,106,10,2023-10-24 20:11:39,0,0,129,129,3,1,55,8,3,1,11.7,0.5757224743299,0.018585916122130786,3,2.2,16,113.4,,
Devin Booker,PHO,23631,ast,27.5,-120,-102,fd,,G,1,,,,closed,,,156,,3024,27.5,-120,-110,28.5,-104,10,2023-10-20 06:11:39,0,0,129,129,1,4,28,42,5,2,25.4,0.62739455013965,0.24248724635499297,5,-2.1,19,115.2,,
Christian Braun,DEN,23630,ast,5.5,-108,-112,fd,,G,0,,,,closed,,,156,,5464,5.5,-108,-120,5.5,100,12,2023-10-24 17:12:58,0,0,86,86,2,3,33,33,1,7,7.2,0.62720461990374,0.20794963833312885,5,1.7,22,116.8,,
Rui Hachimura,LAL,23630,ast,9.5,-104,-118,fd,,F,28,,,,closed,,,156,,4491,9.5,-110,-120,9.5,100,12,2023-10-21 20:12:23,0,0,86,86,1,4,37,16,6,6,11.1,0.60269350803755,0.18220649653519416,4,1.6,6,108.8,,
Klay Thompson,GSW,23631,ast,20.5,100,-122,fd,,G,31,,,,closed,,,156,,2142,19.5,-120,-110,21.5,-115,10,2023-10-20 06:11:38,0,0,129,129,3,2,31,47,3,5,18.9,0.55631998093767,0.012319965312809322,3,-1.6,16,113.4,,
Chris Paul,GSW,23631,ast,12.5,-102,-120,fd,,G,3,,,,closed,,,156,,2307,12.5,-102,-135,12.5,-115,10,2023-10-20 06:11:39,0,0,129,129,0,5,13,34,2,1,10.9,0.65411867813358,0.19921757657823014,4,-1.6,16,113.4,,
Dario Saric,GSW,23631,pra,4.5,114,-140,fd,,F,9,,,,closed,,,157,,2839,4.5,110,-140,4.5,115,12,2023-10-24 21:13:06,0,0,22,22,0,0,11,14,2,1,2.9,0.6696234175498,0.14792585865680008,4,-1.6,4,41.5,,
Michael Porter,DEN,23630,pra,5.5,-105,-115,fd,,F,1,,,,closed,,,157,,3471,5.5,-115,-113,5.5,100,10,2023-10-20 04:12:05,0,0,19,19,3,2,59,29,13,1,6.8,0.67302286992812,0.3139970317644247,5,1.3,19,44.2,,
Kevon Looney,GSW,23631,ast,7.5,110,-134,fd,,F,5,,,,closed,,,156,,3029,7.5,-115,-117,7.5,-115,12,2023-10-23 21:12:11,0,0,129,129,0,0,7,27,2,5,6.3,0.6297617330674,0.099733175655012,3,-1.2,16,113.4,,
Gabe Vincent,LAL,23630,ast,6.5,104,-128,fd,,G,7,,,,closed,,,156,,3635,6.5,104,-130,6.5,100,12,2023-10-24 17:12:57,0,0,86,86,0,4,3,8,4,7,7.6,0.56081321891237,0.14405896658123485,4,1.1,6,108.8,,
Gary Payton,GSW,23631,ast,5.5,-110,-110,fd,,G,0,,,,closed,,,156,,3299,5.5,-110,-115,5.5,-114,10,2023-10-24 21:11:38,0,0,129,129,4,1,16,13,0,1,6.6,0.56238513052906,0.07364434010093279,3,1.1,16,113.4,,
LeBron James,LAL,23630,pra,7.5,-120,-102,fd,,F,23,,,,closed,,,157,,2239,7.5,-125,-105,7.5,-113,10,2023-10-20 04:12:05,0,0,19,19,2,3,34,40,8,7,6.4,0.68732105097915,0.36116521860576756,5,-1.1,8,42.4,,
Chris Paul,GSW,23631,pts,7.5,-124,102,fd,,G,3,,,,closed,,,151,,2307,7.5,-120,-110,7.5,115,12,2023-10-20 23:12:02,3,3,55,55,1,4,17,30,2,1,6.5,0.67275778013057,0.3589707158637514,5,-1.0,12,26.2,,
Anthony Davis,LAL,23630,ast,23.5,-112,-108,fd,,F,3,,,,closed,,,156,,2746,23.5,-115,-110,24.5,-102,10,2023-10-20 04:12:03,0,0,86,86,4,1,49,33,7,7,22.5,0.58129913750941,0.11953907964775257,4,-1.0,6,108.8,,
Nikola Jokic,DEN,23630,ast,25.5,-104,-118,fd,,C,15,,,,closed,,,156,,2918,25.5,-110,-118,24.5,-128,10,2023-10-20 04:12:04,0,0,86,86,3,2,54,37,8,8,26.5,0.51945807968228,0.018937002453703056,3,1.0,22,116.8,,
Taurean Prince,LAL,23630,ast,7.5,-105,-115,fd,,F,12,,,,closed,,,156,,3224,7.5,-115,-115,7.5,-125,12,2023-10-21 20:12:25,0,0,86,86,2,3,35,26,6,5,8.5,0.54373395847271,0.061575823684814734,3,1.0,6,108.8,,
LeBron James,LAL,23630,pts,6.5,-102,-120,fd,,F,23,,,,closed,,,151,,2239,6.5,-105,-120,6.5,122,10,2023-10-20 04:12:06,0,0,59,59,4,1,52,20,12,3,5.6,0.67025779797431,0.22880596295290156,5,-0.9,8,25.5,,
Klay Thompson,GSW,23631,pra,4.5,124,-152,fd,,G,31,,,,closed,,,157,,2142,4.5,106,-140,3.5,-155,12,2023-10-20 23:12:03,0,0,22,22,2,3,20,56,5,3,3.6,0.70643844964128,0.17120058756317474,4,-0.9,4,41.5,,
Andrew Wiggins,GSW,23631,pra,5.5,100,-122,fd,,F,22,,,,closed,,,157,,2945,5.5,110,-140,4.5,-155,12,2023-10-20 23:12:03,0,0,22,22,0,5,18,48,1,5,4.6,0.68575950114804,0.24785745290872851,5,-0.9,4,41.5,,
Anthony Davis,LAL,23630,reb,2.5,126,-162,fd,,F,3,,,,closed,,,152,,2746,2.5,125,-160,2.5,115,24,2023-10-20 22:14:09,0,0,12,12,1,4,36,43,5,9,1.7,0.75722320719859,0.22464494003722585,5,-0.8,16,5.0,,
LeBron James,LAL,23630,ast,23.5,-120,-102,fd,,F,23,,,,closed,,,156,,2239,23.5,-127,-102,24.5,-120,10,2023-10-20 04:12:02,0,0,86,86,5,0,47,26,11,4,22.7,0.56725791874041,0.12339313319179235,4,-0.8,6,108.8,,
Michael Porter,DEN,23630,3pm,2.5,-113,-113,fd,,F,1,,,,closed,,,162,,3471,2.5,-113,-115,2.5,-113,10,2023-10-20 04:12:06,0,0,43,43,1,4,43,47,11,3,3.3,0.64057353367492,0.20745276701555715,5,0.8,28,14.0,,
Aaron Gordon,DEN,23630,pra,5.5,-140,114,fd,,F,32,,,,closed,,,157,,2850,6.5,110,-140,6.5,112,10,2023-10-20 04:12:02,0,0,19,19,3,2,41,42,8,8,6.2,0.57421323058852,0.22881631345943276,5,0.7,19,44.2,,
Gary Payton,GSW,23631,stl,0.5,-130,102,fd,,G,0,,,,closed,,,160,,3299,0.5,-130,100,0.5,-125,19,2023-10-24 21:19:06,0,0,14,14,3,2,18,10,1,0,1.2,0.6988057880878,0.23634870200149238,5,0.7,26,8.3,,
Kentavious Caldwell-Pope,DEN,23630,pts,1.5,-172,134,fd,,G,3,,,,closed,,,151,,2802,1.5,-148,115,2.5,140,10,2023-10-20 04:12:02,0,0,59,59,5,0,59,26,6,7,2.1,0.62038507241576,-0.01892593199368181,2,0.6,26,28.2,,
Klay Thompson,GSW,23631,pts,1.5,-180,140,fd,,G,31,,,,closed,,,151,,2142,1.5,-180,140,1.5,-155,24,2023-10-20 23:14:32,3,3,55,55,3,2,49,27,3,5,2.1,0.62038507241576,-0.034956554019928865,2,0.6,12,26.2,,
Rui Hachimura,LAL,23630,pra,3.5,-158,128,fd,,F,28,,,,closed,,,157,,4491,4.5,-101,-135,4.5,120,12,2023-10-21 20:12:24,0,0,19,19,2,3,21,31,4,7,4.1,0.6093082907614,0.38922290293599204,5,0.6,8,42.4,,
Jamal Murray,DEN,23630,stl,0.5,-265,200,fd,,G,27,,,,closed,,,160,,3171,0.5,172,175,0.5,-235,12,2023-10-20 23:12:02,0,0,13,13,4,1,39,29,10,6,1.1,0.66712891630192,-0.081124322829431,2,0.6,23,8.1,,
Nikola Jokic,DEN,23630,3pm,0.5,-210,162,fd,,C,15,,,,closed,,,162,,2918,0.5,-210,165,0.5,-137,37,2023-10-16 17:15:57,0,0,43,43,4,1,61,30,13,3,1.1,0.66712891630192,-0.015190647363832466,2,0.6,28,14.0,,
Andrew Wiggins,GSW,23631,3pm,1.5,-160,124,fd,,F,22,,,,closed,,,162,,2945,1.5,-155,120,2.5,154,10,2023-10-20 06:11:38,2,2,45,45,3,2,25,41,2,4,2.1,0.62038507241576,0.00812574267561006,2,0.6,18,13.1,,
Grayson Allen,PHO,23631,3pm,1.5,-186,144,fd,,G,8,,,,closed,,,162,,3520,1.5,-180,140,2.0,-137,36,2023-10-24 19:21:00,2,2,45,45,3,2,49,23,3,2,2.1,0.62038507241576,-0.04607456607039051,2,0.6,22,13.3,,
Drew Eubanks,PHO,23631,pra,4.5,-138,112,fd,,C,15,,,,closed,,,157,,3600,4.5,-125,-105,4.5,-108,10,2023-10-24 20:11:34,0,0,22,22,0,4,19,26,5,1,5.0,0.55950671493479,-0.03505363656173899,2,0.5,13,43.0,,
Aaron Gordon,DEN,23630,3pm,0.5,-150,118,fd,,F,32,,,,closed,,,162,,2850,0.5,-151,115,0.5,-158,10,2023-10-20 04:12:03,0,0,43,43,3,2,34,49,7,9,1.0,0.63212055882856,0.053534264714266644,3,0.5,28,14.0,,
D'Angelo Russell,LAL,23630,pts,5.5,104,-128,fd,,G,1,,,,closed,,,151,,3013,4.5,-155,116,5.5,-120,10,2023-10-20 04:12:06,0,0,59,59,2,3,52,20,6,8,5.1,0.5768745855814,0.17682415458605605,4,-0.4,8,25.5,,
Jamal Murray,DEN,23630,pts,6.5,-112,-108,fd,,G,27,,,,closed,,,151,,3171,6.5,-125,-108,6.5,-113,10,2023-10-20 04:12:04,0,0,59,59,1,4,29,39,5,11,6.1,0.59024489215328,0.13676794044335416,4,-0.4,26,28.2,,
Andrew Wiggins,GSW,23631,pts,1.5,-158,124,fd,,F,22,,,,closed,,,151,,2945,1.5,-165,129,1.5,-160,24,2023-10-20 23:14:32,3,3,55,55,2,3,28,37,2,4,1.9,0.56625100425436,-0.0753622841922475,2,0.4,12,26.2,,
Aaron Gordon,DEN,23630,ast,14.5,-106,-114,fd,,F,32,,,,closed,,,156,,2850,13.5,-125,-105,14.5,-104,10,2023-10-20 04:12:04,0,0,86,86,2,3,48,35,7,9,14.9,0.58168819794576,0.1304506488379864,4,0.4,22,116.8,,
