game_id,game_date,matchup,win_loss,team_id,team,season
0022400061,2024-10-22,NYK @ BOS,L,1610612752,NYK,2024-25
0022400062,2024-10-22,LAL vs. MIN,W,1610612747,LAL,2024-25
0022400063,2024-10-23,DET vs. IND,L,1610612765,DET,2024-25
0022400064,2024-10-23,ATL vs. BKN,W,1610612737,ATL,2024-25
0022400065,2024-10-23,ORL @ MIA,W,1610612753,ORL,2024-25
0022400066,2024-10-23,MIL @ PHI,W,1610612749,MIL,2024-25
0022400067,2024-10-23,TOR vs. CLE,L,1610612761,TOR,2024-25
0022400068,2024-10-23,CHA @ HOU,W,1610612766,CHA,2024-25
0022400069,2024-10-23,NOP vs. CHI,W,1610612740,NOP,2024-25
0022400070,2024-10-23,MEM @ UTA,W,1610612763,MEM,2024-25
0022400071,2024-10-23,LAC vs. PHX,L,1610612746,LAC,2024-25
0022400072,2024-10-23,POR vs. GSW,L,1610612757,POR,2024-25
0022400073,2024-10-24,WAS vs. BOS,L,1610612764,WAS,2024-25
0022400074,2024-10-24,SAS @ DAL,L,1610612759,SAS,2024-25
0022400075,2024-10-24,OKC @ DEN,W,1610612760,OKC,2024-25
0022400076,2024-10-24,SAC vs. MIN,L,1610612758,SAC,2024-25
0022400077,2024-10-25,BKN @ ORL,L,1610612751,BKN,2024-25
0022400078,2024-10-25,TOR vs. PHI,W,1610612761,TOR,2024-25
0022400079,2024-10-25,ATL vs. CHA,W,1610612737,ATL,2024-25
0022400080,2024-10-25,CLE vs. DET,W,1610612739,CLE,2024-25
0022400081,2024-10-25,NYK vs. IND,W,1610612752,NYK,2024-25
0022400082,2024-10-25,MEM @ HOU,L,1610612763,MEM,2024-25
0022400083,2024-10-25,CHI @ MIL,W,1610612741,CHI,2024-25
0022400084,2024-10-25,GSW @ UTA,W,1610612744,GSW,2024-25
0022400085,2024-10-25,LAL vs. PHX,W,1610612747,LAL,2024-25
0022400086,2024-10-25,NOP @ POR,W,1610612740,NOP,2024-25
0022400087,2024-10-26,LAC @ DEN,W,1610612746,LAC,2024-25
0022400088,2024-10-26,CHA vs. MIA,L,1610612766,CHA,2024-25
0022400089,2024-10-26,BOS @ DET,W,1610612738,BOS,2024-25
0022400090,2024-10-26,WAS vs. CLE,L,1610612764,WAS,2024-25
0022400091,2024-10-26,CHI vs. OKC,L,1610612741,CHI,2024-25
0022400092,2024-10-26,MEM vs. ORL,W,1610612763,MEM,2024-25
0022400093,2024-10-26,TOR @ MIN,L,1610612761,TOR,2024-25
0022400094,2024-10-26,HOU @ SAS,L,1610612745,HOU,2024-25
0022400095,2024-10-26,PHX vs. DAL,W,1610612756,PHX,2024-25
0022400096,2024-10-26,LAL vs. SAC,W,1610612747,LAL,2024-25
0022400097,2024-10-27,PHI @ IND,W,1610612755,PHI,2024-25
0022400098,2024-10-27,BKN vs. MIL,W,1610612751,BKN,2024-25
0022400099,2024-10-27,NOP @ POR,L,1610612740,NOP,2024-25
0022400100,2024-10-27,ATL @ OKC,L,1610612737,ATL,2024-25
0022400101,2024-10-27,LAC @ GSW,W,1610612746,LAC,2024-25
0022400102,2024-10-28,ORL vs. IND,W,1610612753,ORL,2024-25
0022400103,2024-10-28,WAS @ ATL,W,1610612764,WAS,2024-25
0022400104,2024-10-28,BOS vs. MIL,W,1610612738,BOS,2024-25
0022400105,2024-10-28,DET @ MIA,L,1610612765,DET,2024-25
0022400106,2024-10-28,CLE @ NYK,W,1610612739,CLE,2024-25
0022400107,2024-10-28,DEN @ TOR,W,1610612743,DEN,2024-25
0022400108,2024-10-28,MEM vs. CHI,L,1610612763,MEM,2024-25
0022400109,2024-10-28,SAS vs. HOU,L,1610612759,SAS,2024-25
0022400110,2024-10-28,DAL vs. UTA,W,1610612742,DAL,2024-25
0022400111,2024-10-28,LAL @ PHX,L,1610612747,LAL,2024-25
0022400112,2024-10-28,POR @ SAC,L,1610612757,POR,2024-25
0022400113,2024-10-29,BKN vs. DEN,L,1610612751,BKN,2024-25
0022400114,2024-10-29,DAL @ MIN,W,1610612742,DAL,2024-25
0022400115,2024-10-29,SAC @ UTA,W,1610612758,SAC,2024-25
0022400116,2024-10-29,GSW vs. NOP,W,1610612744,GSW,2024-25
0022400117,2024-10-30,TOR @ CHA,L,1610612761,TOR,2024-25
0022400118,2024-10-30,LAL @ CLE,L,1610612747,LAL,2024-25
0022400119,2024-10-30,IND vs. BOS,W,1610612754,IND,2024-25
0022400120,2024-10-30,DET @ PHI,W,1610612765,DET,2024-25
0022400121,2024-10-30,WAS vs. ATL,W,1610612764,WAS,2024-25
0022400122,2024-10-30,NYK @ MIA,W,1610612752,NYK,2024-25
0022400123,2024-10-30,ORL @ CHI,L,1610612753,ORL,2024-25
0022400124,2024-10-30,MEM vs. BKN,L,1610612763,MEM,2024-25
0022400125,2024-10-30,SAS @ OKC,L,1610612759,SAS,2024-25
0022400126,2024-10-30,NOP @ GSW,L,1610612740,NOP,2024-25
0022400127,2024-10-30,LAC vs. POR,L,1610612746,LAC,2024-25
0022400128,2024-10-31,MIL @ MEM,L,1610612749,MIL,2024-25
0022400129,2024-10-31,HOU @ DAL,W,1610612745,HOU,2024-25
0022400130,2024-10-31,UTA vs. SAS,L,1610612762,UTA,2024-25
0022400131,2024-10-31,PHX @ LAC,W,1610612756,PHX,2024-25
0022400132,2024-11-01,CHA vs. BOS,L,1610612766,CHA,2024-25
0022400133,2024-11-01,ORL @ CLE,L,1610612753,ORL,2024-25
0022400134,2024-11-01,NYK @ DET,W,1610612752,NYK,2024-25
0022400135,2024-11-01,SAC @ ATL,W,1610612758,SAC,2024-25
0022400136,2024-11-01,CHI @ BKN,L,1610612741,CHI,2024-25
0022400137,2024-11-01,LAL @ TOR,W,1610612747,LAL,2024-25
0022400138,2024-11-01,IND @ NOP,L,1610612754,IND,2024-25
0022400139,2024-11-01,DEN @ MIN,L,1610612743,DEN,2024-25
0022400140,2024-11-01,OKC @ POR,W,1610612760,OKC,2024-25
0022400141,2024-11-02,CHA vs. BOS,L,1610612766,CHA,2024-25
0022400142,2024-11-02,MEM @ PHI,W,1610612763,MEM,2024-25
0022400143,2024-11-02,SAC @ TOR,L,1610612758,SAC,2024-25
0022400144,2024-11-02,GSW @ HOU,W,1610612744,GSW,2024-25
0022400145,2024-11-02,CLE @ MIL,W,1610612739,CLE,2024-25
0022400146,2024-11-02,MIN @ SAS,L,1610612750,MIN,2024-25
0022400147,2024-11-02,MIA @ WAS,L,1610612764,WAS,2024-25
0022400148,2024-11-02,DEN vs. UTA,W,1610612743,DEN,2024-25
0022400149,2024-11-02,POR @ PHX,L,1610612757,POR,2024-25
0022400150,2024-11-02,LAC vs. OKC,L,1610612746,LAC,2024-25
0022400151,2024-11-03,BKN vs. DET,L,1610612751,BKN,2024-25
0022400152,2024-11-03,NOP vs. ATL,L,1610612740,NOP,2024-25
0022400153,2024-11-03,ORL @ DAL,L,1610612753,ORL,2024-25
0022400154,2024-11-04,MIL @ CLE,L,1610612749,MIL,2024-25
0022400155,2024-11-04,WAS vs. GSW,L,1610612764,WAS,2024-25
0022400156,2024-11-04,LAL @ DET,L,1610612747,LAL,2024-25
0022400157,2024-11-04,ATL vs. BOS,L,1610612737,ATL,2024-25
0022400158,2024-11-04,MEM @ BKN,L,1610612763,MEM,2024-25
0022400159,2024-11-04,MIA vs. SAC,L,1610612748,MIA,2024-25
0022400160,2024-11-04,CHI vs. UTA,L,1610612741,CHI,2024-25
0022400161,2024-11-04,NYK @ HOU,L,1610612752,NYK,2024-25
0022400162,2024-11-04,CHA @ MIN,L,1610612766,CHA,2024-25
0022400163,2024-11-04,OKC vs. ORL,W,1610612760,OKC,2024-25
0022400164,2024-11-04,POR @ NOP,W,1610612757,POR,2024-25
0022400165,2024-11-04,DAL vs. IND,L,1610612742,DAL,2024-25
0022400166,2024-11-04,DEN vs. TOR,W,1610612743,DEN,2024-25
0022400167,2024-11-04,PHX vs. PHI,W,1610612756,PHX,2024-25
0022400168,2024-11-04,SAS @ LAC,L,1610612759,SAS,2024-25
0022400169,2024-11-06,DET @ CHA,L,1610612765,DET,2024-25
0022400170,2024-11-06,ORL @ IND,L,1610612753,ORL,2024-25
0022400171,2024-11-06,NYK @ ATL,L,1610612752,NYK,2024-25
0022400172,2024-11-06,BOS vs. GSW,L,1610612738,BOS,2024-25
0022400173,2024-11-06,HOU vs. SAS,W,1610612745,HOU,2024-25
0022400174,2024-11-06,LAL @ MEM,L,1610612747,LAL,2024-25
0022400175,2024-11-06,NOP vs. CLE,L,1610612740,NOP,2024-25
0022400176,2024-11-06,DAL vs. CHI,W,1610612742,DAL,2024-25
0022400177,2024-11-06,DEN vs. OKC,W,1610612743,DEN,2024-25
0022400178,2024-11-06,MIA @ PHX,L,1610612748,MIA,2024-25
0022400179,2024-11-06,PHI @ LAC,L,1610612755,PHI,2024-25
0022400180,2024-11-06,SAC vs. TOR,W,1610612758,SAC,2024-25
0022400181,2024-11-07,CHI vs. MIN,L,1610612741,CHI,2024-25
0022400182,2024-11-07,MIL vs. UTA,W,1610612749,MIL,2024-25
0022400183,2024-11-07,SAS vs. POR,W,1610612759,SAS,2024-25
0022400184,2024-11-08,IND @ CHA,L,1610612754,IND,2024-25
0022400185,2024-11-08,DET vs. ATL,W,1610612765,DET,2024-25
0022400186,2024-11-08,ORL vs. NOP,W,1610612753,ORL,2024-25
0022400187,2024-11-08,BOS vs. BKN,W,1610612738,BOS,2024-25
0022400188,2024-11-08,GSW @ CLE,L,1610612744,GSW,2024-25
0022400189,2024-11-08,NYK vs. MIL,W,1610612752,NYK,2024-25
0022400190,2024-11-08,PHX @ DAL,W,1610612756,PHX,2024-25
0022400191,2024-11-08,WAS @ MEM,L,1610612764,WAS,2024-25
0022400192,2024-11-08,HOU @ OKC,L,1610612745,HOU,2024-25
0022400193,2024-11-08,MIN vs. POR,W,1610612750,MIN,2024-25
0022400194,2024-11-08,DEN vs. MIA,W,1610612743,DEN,2024-25
0022400195,2024-11-08,LAL vs. PHI,W,1610612747,LAL,2024-25
0022400196,2024-11-08,SAC vs. LAC,L,1610612758,SAC,2024-25
0022400197,2024-11-09,UTA @ SAS,W,1610612762,UTA,2024-25
0022400198,2024-11-09,ATL vs. CHI,L,1610612737,ATL,2024-25
0022400199,2024-11-09,BKN @ CLE,L,1610612751,BKN,2024-25
0022400200,2024-11-09,TOR @ LAC,L,1610612761,TOR,2024-25
0022400201,2024-11-10,HOU @ DET,W,1610612745,HOU,2024-25
0022400202,2024-11-10,MIL vs. BOS,L,1610612749,MIL,2024-25
0022400203,2024-11-10,IND vs. NYK,W,1610612754,IND,2024-25
0022400204,2024-11-10,ORL vs. WAS,W,1610612753,ORL,2024-25
0022400205,2024-11-10,CHA @ PHI,L,1610612766,CHA,2024-25
0022400206,2024-11-10,MIN vs. MIA,L,1610612750,MIN,2024-25
0022400207,2024-11-10,GSW @ OKC,W,1610612744,GSW,2024-25
0022400208,2024-11-10,DEN vs. DAL,W,1610612743,DEN,2024-25
0022400209,2024-11-10,SAC @ PHX,W,1610612758,SAC,2024-25
0022400210,2024-11-10,MEM @ POR,W,1610612763,MEM,2024-25
0022400211,2024-11-10,TOR @ LAL,L,1610612761,TOR,2024-25
0022400212,2024-11-11,CHI vs. CLE,L,1610612741,CHI,2024-25
0022400213,2024-11-11,WAS @ HOU,L,1610612764,WAS,2024-25
0022400214,2024-11-11,NOP vs. BKN,L,1610612740,NOP,2024-25
0022400215,2024-11-11,LAC @ OKC,L,1610612746,LAC,2024-25
0022400216,2024-11-11,SAS vs. SAC,W,1610612759,SAS,2024-25
0022400001,2024-11-12,BOS vs. ATL,L,1610612738,BOS,2024-25
0022400002,2024-11-12,DET vs. MIA,W,1610612765,DET,2024-25
0022400003,2024-11-12,ORL vs. CHA,W,1610612753,ORL,2024-25
0022400004,2024-11-12,NYK @ PHI,W,1610612752,NYK,2024-25
0022400005,2024-11-12,MIL vs. TOR,W,1610612749,MIL,2024-25
0022400006,2024-11-12,PHX @ UTA,W,1610612756,PHX,2024-25
0022400007,2024-11-12,GSW vs. DAL,W,1610612744,GSW,2024-25
0022400008,2024-11-12,MIN @ POR,L,1610612750,MIN,2024-25
0022400217,2024-11-13,IND @ ORL,L,1610612754,IND,2024-25
0022400218,2024-11-13,BOS @ BKN,W,1610612738,BOS,2024-25
0022400219,2024-11-13,NYK vs. CHI,L,1610612752,NYK,2024-25
0022400220,2024-11-13,PHI vs. CLE,L,1610612755,PHI,2024-25
0022400221,2024-11-13,NOP @ OKC,L,1610612740,NOP,2024-25
0022400222,2024-11-13,LAC @ HOU,L,1610612746,LAC,2024-25
0022400223,2024-11-13,DET @ MIL,L,1610612765,DET,2024-25
0022400224,2024-11-13,SAS vs. WAS,W,1610612759,SAS,2024-25
0022400225,2024-11-13,LAL vs. MEM,W,1610612747,LAL,2024-25
0022400226,2024-11-13,POR vs. MIN,W,1610612757,POR,2024-25
0022400227,2024-11-13,PHX @ SAC,L,1610612756,PHX,2024-25
0022400228,2024-11-14,DAL @ UTA,L,1610612742,DAL,2024-25
0022400009,2024-11-15,IND vs. MIA,L,1610612754,IND,2024-25
0022400010,2024-11-15,ORL vs. PHI,W,1610612753,ORL,2024-25
0022400011,2024-11-15,TOR vs. DET,L,1610612761,TOR,2024-25
0022400012,2024-11-15,WAS @ ATL,L,1610612764,WAS,2024-25
0022400013,2024-11-15,CHI @ CLE,L,1610612741,CHI,2024-25
0022400014,2024-11-15,BKN @ NYK,L,1610612751,BKN,2024-25
0022400015,2024-11-15,LAL @ SAS,W,1610612747,LAL,2024-25
0022400016,2024-11-15,LAC @ HOU,L,1610612746,LAC,2024-25
0022400017,2024-11-15,DEN @ NOP,L,1610612743,DEN,2024-25
0022400018,2024-11-15,OKC vs. PHX,W,1610612760,OKC,2024-25
0022400019,2024-11-15,MEM @ GSW,L,1610612763,MEM,2024-25
0022400020,2024-11-15,SAC vs. MIN,L,1610612758,SAC,2024-25
0022400229,2024-11-16,CHA vs. MIL,W,1610612766,CHA,2024-25
0022400230,2024-11-16,BOS vs. TOR,W,1610612738,BOS,2024-25
0022400231,2024-11-16,NOP vs. LAL,L,1610612740,NOP,2024-25
0022400232,2024-11-16,DAL vs. SAS,W,1610612742,DAL,2024-25
0022400233,2024-11-16,UTA @ SAC,L,1610612762,UTA,2024-25
0022400234,2024-11-17,MIN vs. PHX,W,1610612750,MIN,2024-25
0022400235,2024-11-17,IND vs. MIA,W,1610612754,IND,2024-25
0022400236,2024-11-17,CHA @ CLE,L,1610612766,CHA,2024-25
0022400237,2024-11-17,DET @ WAS,W,1610612765,DET,2024-25
0022400238,2024-11-17,DEN @ MEM,L,1610612743,DEN,2024-25
