game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22400344,2024-12-07,DAL @ TOR,W,34.0,4,12,0.333,0,6,0.0,5,6,0.833,1,4,5,1,1,1,2,0,13,1
22400326,2024-12-05,DAL @ WAS,W,24.0,2,7,0.286,2,4,0.5,4,4,1.0,1,6,7,2,0,2,0,0,10,5
22400056,2024-12-03,DAL vs. MEM,W,38.0,6,10,0.6,4,6,0.667,2,5,0.4,0,8,8,7,1,2,4,3,18,21
22400312,2024-12-01,DAL @ POR,W,37.0,5,8,0.625,4,6,0.667,0,0,0.0,0,3,3,6,1,0,3,2,14,7
22400304,2024-11-30,DAL @ UTA,W,35.0,7,16,0.438,2,5,0.4,0,0,0.0,2,9,11,1,1,1,1,3,16,11
22400292,2024-11-27,DAL vs. NYK,W,36.0,7,12,0.583,3,3,1.0,2,3,0.667,0,10,10,7,1,2,4,2,19,6
22400280,2024-11-25,DAL @ ATL,W,39.0,5,11,0.455,1,3,0.333,0,0,0.0,0,10,10,4,1,3,1,3,11,12
22400273,2024-11-24,DAL @ MIA,L,40.0,7,14,0.5,1,2,0.5,6,7,0.857,3,7,10,3,2,0,2,2,21,1
22400033,2024-11-22,DAL @ DEN,W,36.0,8,15,0.533,0,2,0.0,6,7,0.857,3,10,13,1,3,0,4,1,22,7
22400024,2024-11-19,DAL vs. NOP,W,25.0,2,9,0.222,0,2,0.0,0,0,0.0,2,4,6,1,1,2,1,4,4,4
22400242,2024-11-17,DAL @ OKC,W,28.0,7,13,0.538,3,4,0.75,10,10,1.0,6,11,17,2,0,1,1,0,27,12
22400232,2024-11-16,DAL vs. SAS,W,19.0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,2,2,0,0,0,0,9
22400165,2024-11-04,DAL vs. IND,L,35.0,3,11,0.273,0,5,0.0,2,4,0.5,1,10,11,0,0,3,2,2,8,-6
22400153,2024-11-03,DAL vs. ORL,W,28.0,3,4,0.75,1,2,0.5,0,0,0.0,1,3,4,2,1,0,1,1,7,16
22400129,2024-10-31,DAL vs. HOU,L,37.0,3,6,0.5,0,2,0.0,0,2,0.0,1,8,9,1,3,3,1,3,6,-3
22400114,2024-10-29,DAL @ MIN,W,32.0,7,13,0.538,3,6,0.5,0,0,0.0,4,4,8,3,1,0,0,5,17,3
22400110,2024-10-28,DAL vs. UTA,W,33.0,6,11,0.545,0,4,0.0,0,0,0.0,1,10,11,2,4,2,3,2,12,1
22400095,2024-10-26,DAL @ PHX,L,35.0,2,10,0.2,1,5,0.2,0,0,0.0,2,4,6,0,1,1,1,4,5,-3
22400074,2024-10-24,DAL vs. SAS,W,26.0,4,11,0.364,2,7,0.286,1,2,0.5,2,3,5,2,1,0,0,1,11,-6
